,parameter,deployments,count,mean,std,min,25%,50%,75%,max
83,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",223034.000000,  34.000631,   0.036912,  32.709030,  33.981491,  34.000098,  34.020447,  34.093504
84,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",222742.000000,  34.005452,   0.036473,  33.481811,  33.986225,  34.004707,  34.024954,  34.101583
85,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",222742.000000,  34.010238,   0.036318,  33.600332,  33.991272,  34.009349,  34.029701,  34.109136
86,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",222579.000000,  34.015210,   0.036261,  33.504726,  33.996493,  34.014197,  34.034790,  34.115827
87,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",222260.000000,  34.020107,   0.036367,  33.607437,  34.001267,  34.019179,  34.039688,  34.120180
88,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",222063.000000,  34.024938,   0.036597,  33.507043,  34.005902,  34.024074,  34.044670,  34.122541
89,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",222302.000000,  34.029773,   0.036847,  33.616880,  34.010915,  34.029361,  34.049704,  34.128695
90,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",221475.000000,  34.034924,   0.037255,  33.621345,  34.016396,  34.034625,  34.054865,  34.136727
91,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",221756.000000,  34.039999,   0.037566,  33.623193,  34.021395,  34.039800,  34.060290,  34.143643
92,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",220615.000000,  34.045462,   0.037715,  33.625788,  34.026990,  34.045314,  34.065796,  34.151440
93,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",220512.000000,  34.050979,   0.037718,  33.629597,  34.032183,  34.050567,  34.071535,  34.158240
94,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",220412.000000,  34.056688,   0.037856,  33.629768,  34.037557,  34.056370,  34.077196,  34.164219
95,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",220043.000000,  34.062518,   0.038024,  33.640112,  34.043094,  34.061754,  34.083381,  34.174005
96,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",219669.000000,  34.068286,   0.038260,  33.346443,  34.048752,  34.067589,  34.089457,  34.176889
97,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",219673.000000,  34.074094,   0.038437,  33.647190,  34.054297,  34.073403,  34.095228,  34.187249
98,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",221981.000000,  34.079766,   0.038564,  33.650914,  34.059893,  34.078803,  34.100900,  34.187929
99,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",227614.000000,  34.085844,   0.038868,  33.654897,  34.065577,  34.084457,  34.108066,  34.197250
100,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",234013.000000,  34.091311,   0.039078,  33.658295,  34.070390,  34.089744,  34.114359,  34.208770
101,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",585189.000000,  34.108365,   0.040387,  33.661912,  34.083660,  34.106834,  34.133549,  34.211837
102,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",379269.000000,  34.093585,   0.035357,  33.555081,  34.076909,  34.094103,  34.114001,  34.179515
103,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9", 825.000000,  34.081473,   0.004586,  34.069776,  34.082824,  34.083289,  34.083850,  34.087335
104,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",   0.000000,,,,,,,
105,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",71666.000000,  32.301751,   0.168197,  31.146157,  32.198359,  32.334416,  32.414259,  32.727538
106,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",769569.000000,  32.426906,   0.187017,  31.205032,  32.314172,  32.417067,  32.548071,  33.303457
107,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",300556.000000,  32.545691,   0.221901,  31.111045,  32.399695,  32.523046,  32.674921,  33.455331
108,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",269737.000000,  32.733104,   0.276145,  31.856683,  32.506940,  32.705845,  32.919386,  33.719632
109,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",247006.000000,  32.915104,   0.322232,  32.012711,  32.668520,  32.905636,  33.165700,  33.775818
110,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",236008.000000,  33.106198,   0.339515,  32.108465,  32.869195,  33.126937,  33.388258,  33.840330
111,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",233180.000000,  33.277765,   0.324423,  32.306742,  33.073048,  33.317191,  33.543235,  33.903709
112,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",231928.000000,  33.419885,   0.290895,  31.871968,  33.244154,  33.463323,  33.656024,  33.923299
113,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",230047.000000,  33.533229,   0.251490,  32.355795,  33.378501,  33.574599,  33.738678,  33.949614
114,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",229475.000000,  33.620600,   0.216435,  32.476510,  33.485398,  33.658876,  33.796665,  33.970509
115,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",229196.000000,  33.687551,   0.188055,  32.648264,  33.570181,  33.728979,  33.839924,  33.977447
116,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",228450.000000,  33.739547,   0.164889,  32.747945,  33.637465,  33.780452,  33.872472,  33.989176
117,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",228159.000000,  33.780856,   0.145755,  32.954568,  33.689754,  33.819304,  33.896388,  33.998991
118,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",227788.000000,  33.813801,   0.129567,  33.085378,  33.737638,  33.848060,  33.914414,  33.999602
119,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",227962.000000,  33.841124,   0.115375,  33.211651,  33.777026,  33.871584,  33.928800,  34.011093
120,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",228307.000000,  33.863558,   0.102935,  33.289937,  33.809387,  33.889800,  33.939296,  34.012452
121,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",226989.000000,  33.883030,   0.092124,  33.300437,  33.837276,  33.905345,  33.948955,  34.019939
122,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",226507.000000,  33.899528,   0.082702,  33.306701,  33.861472,  33.917684,  33.957047,  34.028748
123,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",228795.000000,  33.913417,   0.074135,  33.315124,  33.880729,  33.927314,  33.963202,  34.029542
124,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",225278.000000,  33.925737,   0.067785,  33.261451,  33.897252,  33.937285,  33.969871,  34.041699
125,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",225253.000000,  33.936244,   0.061448,  33.321766,  33.910035,  33.945811,  33.975362,  34.037197
126,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",225248.000000,  33.945658,   0.056043,  33.309410,  33.921123,  33.953223,  33.980984,  34.044964
